date,forecast,std_error,lower_95,upper_95,lower_80,upper_80,coefficient_of_variation,uncertainty_ratio_95,prob_exceed_historical_max
2025-12-02,972935.7399838844,435166.01809785224,120026.0172163886,1825845.4627513802,415248.04821877193,1530623.431748997,44.727107887419194,1.75327041183958,0.8367767979870353
2025-12-03,794946.5556701062,531796.8389615808,-247356.09578683914,1837249.2071270514,113421.4841472226,1476471.62719299,66.897181347405,2.62232132216317,0.8594560831945677
2025-12-04,964793.9601160218,643169.3522771741,-295794.80630719406,2225382.7265392374,140539.26979490276,1789048.6504371408,66.66390741084547,2.613177151879398,0.7546850405576986
2025-12-05,807372.3101932184,708426.3907432017,-581117.9013611566,2195862.5217475933,-100512.63993684249,1715257.2603232793,87.74469743378526,3.4395289360916648,0.7915838359782323
2025-12-06,954160.7483811204,792342.2819231382,-598801.5876165123,2507123.084378753,-61266.7434646585,1969588.2402268993,83.04075421960798,3.2551377503894825,0.7173122585886573
2025-12-07,817459.8810995028,847408.0761598616,-843429.4283822011,2478349.1905812067,-268537.2655583059,1903457.0277573115,103.66356756494004,4.0635371787243395,0.7500343718711009
2025-12-08,944799.9265105863,917250.4320505036,-852977.8851122047,2742577.7381333774,-230703.80068019766,2120303.65370137,97.08409223084608,3.8056264848844634,0.6939809993346719
2025-12-09,826186.2204485022,966297.5933479375,-1067722.2608611863,2720094.7017581905,-412173.9730885265,2064546.4139855308,116.95881260563444,4.584701207632255,0.7212826140361127
2025-12-10,936672.8508293761,1026997.5657408899,-1076205.3902330745,2949551.091891827,-379477.48735635495,2252823.189015107,109.64314433065245,4.2979322807961164,0.677540164980193
2025-12-11,833756.6980511992,1071889.5400979272,-1267108.19594594,2934621.5920483386,-539925.020152181,2207438.4162545796,128.5614307631151,5.0395154819329075,0.6999748014335994
2025-12-12,929621.1456566491,1126056.0331712845,-1277408.123933109,3136650.415246407,-513477.72654495283,2372720.017858251,121.13063890945392,4.748233793737117,0.6650832142357422
2025-12-13,840325.2371968327,1167834.2771458055,-1448587.8859203144,3129238.36031398,-656314.6089760212,2336965.0833696863,138.97408115951407,5.4476838771438825,0.6834392725345515
2025-12-14,923502.6782622354,1217054.9920680546,-1461881.2733958329,3308886.629920304,-636216.0521764513,2483221.408700922,131.786839466259,5.165949179804589,0.6551704904496084
2025-12-15,846024.4736038055,1256370.3845554811,-1616416.2313676751,3308465.178575286,-764078.9596271429,2456127.906834754,148.5028416735662,5.821204425640872,0.6701740432763673
2025-12-16,918193.9479935598,1301696.4464884493,-1633084.2059275708,3469472.1019146903,-749997.1708675555,2586385.0668546753,141.76704707463173,5.557166129217452,0.6469998674726778
2025-12-17,850969.454916744,1338987.6433109816,-1773398.101716944,3475337.011550432,-865012.2556133193,2566951.1654468076,157.34849653821988,6.167947724728727,0.6592615189837757
2025-12-18,913587.7919329642,1381156.605695344,-1793429.4122394985,3620604.996105427,-856435.6183581701,2683611.2022240986,151.17940693724685,5.926123856022572,0.6400858881846789
2025-12-19,855260.0017008726,1416736.2618498518,-1921492.0471167443,3632012.0505184894,-960360.5726366099,2670880.576038355,165.6497742244885,6.493351830543776,0.6501052595075183
2025-12-20,909591.2291891358,1456288.2362166687,-1944681.2649048937,3763863.723283165,-956717.2398185208,2775899.6981967925,160.10359263412107,6.275945507166992,0.6341158908006179
