feature,importance
cis_mean,0.49165706553164784
enrol_per_day,0.20331844657417597
relative_to_state,0.09960190962511582
enrol_volatility,0.0462028346181598
enrol_mean,0.04246520633503526
child_enrol_mean,0.03253604183125576
child_proportion,0.02208248428821727
momentum,0.021889554245562368
num_pincodes,0.01324115822303486
update_lag,0.012666861735703654
adult_child_ratio,0.006725736976858886
coverage_gap,0.005551557749375361
negative_momentum_flag,0.0016379785634490999
zero_cis_flag,0.00042316370240822203
